Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
P1;1.12.2018;SL Benfica;CD Feirense;4;0;H;0;0;D;15;3;7;1;17;14;7;0;2;2;0;0;Oca.16;7.May;13;Oca.15;Tem.75;13.May;Oca.15;6.Aðu;15.May;Oca.16;8.Kas;16.88;Oca.14;7.May;17;Oca.15;7.May;20;38;Oca.18;Oca.15;Aðu.15;Tem.36;21;16.Oca;31;1.Haz;Oca.53;Þub.58;Þub.43;21;-2;Oca.94;Oca.87;Þub.13;Oca.96;Oca.18;Tem.87;16.95
P1;1.12.2018;Clube Sport Marítimo;Vitória de Setúbal;0;1;A;0;0;D;12;10;3;4;17;22;4;6;1;2;0;0;Þub.37;3.Oca;3.Oca;Þub.35;3.Oca;3.Oca;Þub.45;3;Þub.95;2.May;Mar.22;Mar.14;Þub.45;3.Oca;3;Þub.45;Mar.13;3.Oca;35;Þub.55;Þub.43;Mar.25;3.Oca;3.Þub;3.Mar;31;Þub.45;Þub.33;Oca.64;Oca.58;20;0;Oca.75;Oca.71;Þub.25;Þub.16;Þub.44;Mar.18;Mar.34
P1;1.12.2018;SC Braga;Moreirense FC;2;0;H;2;0;H;14;15;5;2;15;19;2;5;1;2;0;0;Oca.36;Nis.75;8;Oca.36;Nis.75;Tem.75;Oca.37;4.Haz;7.May;Oca.37;5.May;Aðu.58;Oca.36;4.Aðu;8.May;Oca.36;4.Aðu;8.May;38;Oca.46;Oca.37;5.May;Nis.69;8.Tem;8.Oca;34;Oca.71;Oca.65;2.Mar;2.Þub;23;-1.5;Þub.25;2.Ara;1.Aðu;Oca.73;1.Nis;Nis.95;Aðu.76
P1;2.12.2018;CD Aves;CD Nacional;2;3;A;1;1;D;15;16;5;7;16;19;9;4;3;4;0;0;2;3.Mar;3.Aðu;Oca.95;3.Mar;3.Eyl;Oca.95;3.Mar;3.Aðu;2.Oca;Mar.41;4.Kas;Oca.95;3.Nis;4;2;3.May;3.Aðu;38;2.Mar;Oca.97;3.May;Mar.37;4.Kas;Mar.81;35;2.Mar;Oca.94;Oca.91;Oca.84;20;-0.25;Oca.76;1.Tem;Þub.28;Þub.16;Oca.79;Mar.94;Nis.61
P1;2.12.2018;Boavista FC;FC Porto;0;1;A;0;0;D;4;24;2;6;25;11;1;8;6;1;0;0;11;4.May;Oca.33;Eyl.75;4.Haz;Oca.33;10;4.May;Oca.32;Kas.91;Nis.72;Oca.34;12;4.Haz;Oca.32;12;Nis.75;Oca.33;38;12;Eki.39;Nis.95;Nis.62;Oca.35;Oca.32;36;2.Oca;2;Oca.85;Oca.79;22;1.May;Oca.85;Oca.79;Þub.15;2.Nis;13.Nis;May.54;Oca.28
P1;2.12.2018;GD Chaves;Vitória Guimarães;0;1;A;0;1;A;13;15;8;7;12;17;7;4;1;0;0;0;3.Oca;3.Oca;2.Nis;3.Oca;3.Oca;Þub.35;2.Eyl;Mar.15;Þub.35;3.May;Mar.29;Þub.51;2.Eyl;Mar.25;2.Nis;3;3.Mar;2.Nis;37;3.Oca;Þub.97;3.Nis;3.Þub;Þub.51;2.Nis;35;Þub.23;2.Kas;Oca.78;1.Tem;20;0;Þub.23;Þub.13;Oca.78;Oca.72;Mar.15;Mar.23;Þub.51
P1;2.12.2018;Portimonense SC;CD Tondela;3;2;H;3;1;H;16;10;6;5;16;19;8;9;3;6;0;1;Oca.83;3.Haz;4;Oca.83;3.May;4.Þub;Oca.87;Mar.45;Mar.95;Oca.94;Mar.59;Nis.15;Oca.88;3.May;4.Þub;Oca.87;3.May;Nis.33;38;Oca.95;Oca.88;3.Tem;3.May;Nis.33;4.Tem;35;2;Oca.91;Oca.95;Oca.86;20;-0.75;Þub.24;Þub.15;Oca.77;Oca.71;2;Mar.32;Nis.44
P1;3.12.2018;Rio Ave FC;Sporting CP;1;3;A;1;2;A;12;20;4;6;11;27;6;11;3;5;0;0;4.May;3.May;1.Aðu;4.Oca;3.Aðu;Oca.78;Nis.35;3.Haz;Oca.75;Nis.58;Mar.82;1.Aðu;4.May;3.Tem;Oca.75;4.May;3.Tem;1.Aðu;36;Nis.75;Nis.36;Mar.85;Mar.62;Oca.85;Oca.78;33;Oca.95;Oca.85;2;Oca.93;19;0.75;Oca.86;Oca.81;2.Ara;2.Mar;Nis.48;Mar.78;Oca.85
P1;7.12.2018;FC Porto;Portimonense SC;4;1;H;1;1;D;25;8;9;4;10;10;8;0;2;1;0;0;Oca.14;7.May;17;Oca.16;Tem.25;15;Oca.17;6.Haz;14;Oca.16;Aðu.13;19.58;Oca.14;7.May;19;Oca.15;7.May;20;38;Oca.18;Oca.15;8.Nis;Tem.37;21;16.93;31;Oca.46;Oca.42;Þub.95;Þub.78;23;-2;Oca.88;Oca.81;2.Oca;2.Þub;Oca.16;Aðu.46;19.96
P1;8.12.2018;Os Belenenses;GD Chaves;1;0;H;1;0;H;10;12;4;4;12;19;5;6;1;1;0;0;2.Oca;3.Þub;3.Haz;2.Þub;3.Mar;Mar.25;2.Oca;3.Þub;3.Nis;Þub.17;Mar.45;Mar.57;Þub.15;3.Mar;3.Nis;Þub.15;3.Mar;3.May;37;Þub.22;Þub.15;Mar.45;Mar.28;3.Haz;Mar.39;33;2.Þub;2.Ara;Oca.76;1.Tem;19;-0.5;Þub.23;Þub.15;Oca.76;Oca.71;Þub.22;Mar.17;Mar.86
P1;8.12.2018;Vitória de Setúbal;SL Benfica;0;1;A;0;1;A;14;12;3;3;23;20;3;5;3;4;0;0;7.May;4.Þub;Oca.44;Tem.75;4;Oca.45;7;4;Oca.45;Aðu.75;Nis.17;Oca.46;8.May;4.Þub;Oca.42;8;4.Mar;Oca.44;37;9;Tem.92;4.May;Nis.15;Oca.46;Oca.43;34;2.May;Oca.96;Oca.89;Oca.82;21;1;Þub.32;Þub.13;Oca.79;Oca.73;8.Haz;Mar.89;Oca.52
P1;8.12.2018;CD Tondela;SC Braga;0;1;A;0;1;A;8;6;3;3;15;19;6;2;3;1;0;0;5;Mar.75;Oca.66;5;Mar.75;Oca.67;5;Mar.85;1.Haz;May.41;4.Eyl;Oca.65;5.May;3.Eyl;Oca.62;May.75;3.Aðu;Oca.62;37;6;May.18;4.Oca;Mar.82;Oca.68;Oca.64;33;Oca.94;Oca.85;2.Þub;Oca.93;22;1;Oca.81;Oca.73;Þub.19;Þub.13;6.Mar;Mar.83;Oca.64
P1;9.12.2018;Vitória Guimarães;Rio Ave FC;3;2;H;2;1;H;12;11;7;3;23;14;3;7;4;2;0;0;2;3.May;3.Haz;2.May;3.Nis;3.May;2;Mar.35;3.May;Þub.13;Mar.53;Mar.58;2.May;3.Nis;3.Haz;2.Oca;3.Nis;3.Haz;36;Þub.23;2.Tem;Mar.55;Mar.38;3.Tem;Mar.53;33;2.Haz;Oca.96;1.Eyl;Oca.83;19;-0.25;Oca.85;Oca.78;Þub.14;2.May;Oca.89;Mar.49;4.Tem
P1;9.12.2018;Moreirense FC;Santa Clara;0;1;A;0;0;D;11;11;3;3;21;14;9;6;5;4;1;0;Oca.95;3.Þub;4.Þub;1.Eyl;3.Nis;4;Oca.87;Mar.35;Mar.95;Oca.94;Mar.65;4.Aðu;Oca.91;3.May;4;Oca.93;3.Nis;4.Þub;37;2;Oca.93;Mar.65;Mar.38;Nis.25;4;33;2.Þub;Þub.14;Oca.83;Oca.68;19;-0.5;Oca.98;Oca.92;Oca.97;1.Eyl;Oca.94;Mar.46;Nis.49
P1;9.12.2018;CD Nacional;Boavista FC;0;0;D;0;0;D;26;5;7;1;15;24;16;1;2;2;0;0;Þub.37;3.Oca;3.Oca;2.Nis;3.Mar;Þub.85;2.Mar;3.Þub;3;Þub.36;Mar.41;Mar.18;2.Mar;3.Mar;3.Oca;Þub.38;3.Mar;3.Oca;36;Þub.48;Þub.35;Mar.41;Mar.26;3.Mar;3.Þub;34;Þub.17;2.Nis;Oca.82;Oca.76;19;0;Oca.76;Oca.69;Þub.28;Þub.18;Þub.31;3.Kas;3.Tem
