Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
N1;17.03.2019;FC Groningen;ADO Den Haag;1;0;H;1;0;H;13;7;5;1;15;17;7;3;3;3;0;0;Oca.66;4;Nis.75;Oca.67;4.Oca;Nis.75;Oca.67;Mar.85;4.Haz;Oca.72;4.Kas;Nis.71;Oca.65;3.Eyl;Nis.75;Oca.67;4;5;34;1.Aðu;Oca.68;4.Þub;Mar.95;5;Nis.72;33;1.Aðu;Oca.73;2.Þub;2.Oca;20;-1;Þub.27;Þub.21;Oca.75;1.Tem;Oca.62;Nis.47;5.Oca
N1;17.03.2019;VVV-Venlo;PSV;0;1;A;0;0;D;17;12;6;6;8;4;4;8;0;0;0;0;9;6.May;Oca.25;10;6;Oca.28;8.Eyl;5.May;Oca.27;10.Nis;May.81;1.Mar;9.May;5.May;Oca.27;10;May.75;Oca.29;34;13;Eyl.76;6.May;5.Tem;1.Mar;Oca.28;32;Oca.52;Oca.48;Þub.75;Þub.59;20;1.May;2.Oca;2.Mar;Oca.87;Oca.82;10.May;Haz.17;Oca.27
N1;30.03.2019;AZ Alkmaar;FC Groningen;1;0;H;0;0;D;9;8;2;2;8;15;6;6;1;4;0;0;1.Nis;5;6.May;Oca.45;4.Haz;7;Oca.45;4.May;6;Oca.45;Nis.65;7.Nis;Oca.42;4.May;7;Oca.45;Nis.75;6.May;32;Oca.49;Oca.44;5;Nis.61;7.Nis;Haz.67;30;1.Haz;Oca.55;Þub.53;Þub.41;19;-1;Oca.75;Oca.71;Þub.23;Þub.17;Oca.47;Nis.56;Tem.18
N1;30.03.2019;ADO Den Haag;Vitesse;3;3;D;2;3;A;12;13;4;9;8;17;8;4;0;1;0;0;3.May;3.Haz;2;3.May;3.Eyl;Oca.95;Mar.45;3.Tem;Oca.93;Mar.65;4;Oca.96;3.May;3.Aðu;Oca.91;3.Tem;3.Eyl;Oca.91;34;3.Tem;Mar.49;4;Mar.83;2.Þub;Oca.96;32;Oca.65;Oca.59;Þub.45;Þub.33;20;0.25;Þub.24;Þub.14;Oca.76;Oca.73;Mar.77;Mar.95;Oca.94
N1;30.03.2019;De Graafschap;Heracles Almelo;1;2;A;1;0;H;12;9;5;3;19;13;6;6;2;2;0;0;2.Haz;3.Aðu;2.Nis;2.Tem;Mar.75;2.Nis;Þub.55;3.Tem;2.Nis;Þub.65;Mar.88;Þub.53;Þub.55;3.Tem;Þub.45;Þub.63;3.Aðu;Þub.45;33;2.Tem;2.Haz;4;Mar.77;Þub.53;Þub.43;30;Oca.53;Oca.49;Þub.69;Þub.55;19;0.25;Oca.78;Oca.73;2.Þub;Þub.14;Þub.38;Mar.99;Þub.77
N1;30.03.2019;SC Heerenveen;Excelsior;1;0;H;0;0;D;13;17;5;5;8;8;9;7;0;2;0;0;Oca.57;Nis.33;5;Oca.65;Nis.25;Nis.75;Oca.57;4.Þub;4.Tem;Oca.62;Nis.43;May.15;Oca.57;4.Þub;5;1.Haz;4.Nis;5;33;Oca.65;1.Haz;Nis.52;Nis.32;5.Þub;Nis.87;30;Oca.51;Oca.47;Þub.76;Þub.62;21;-1;2.Haz;2;Oca.89;Oca.84;1.Haz;Nis.74;Nis.96
N1;30.03.2019;Willem II;Fortuna Sittard;3;2;H;1;1;D;15;8;6;4;11;15;9;5;1;5;0;1;Oca.61;4.Þub;Nis.75;Oca.62;4.May;Nis.75;Oca.57;Nis.35;4.Tem;1.Haz;Nis.97;Nis.77;Oca.57;4.Haz;4.Haz;1.Haz;4.Nis;5;33;Oca.67;Oca.59;Nis.98;Nis.56;5.May;4.Tem;31;Oca.48;Oca.44;Þub.86;Þub.68;20;-1;2.Kas;Oca.99;Oca.91;Oca.85;Oca.56;Nis.98;5.Nis
N1;31.03.2019;Ajax;PSV;3;1;H;1;0;H;16;11;7;3;9;16;4;8;3;2;1;0;Oca.66;4.Þub;4.May;Oca.67;Nis.33;4.May;Oca.65;4.Oca;Nis.35;Oca.68;Nis.45;Nis.62;Oca.63;4.Þub;4.May;Oca.67;4.Mar;4.Haz;34;1.Tem;Oca.66;Nis.45;Nis.23;4.Tem;Nis.45;31;Oca.55;Oca.49;Þub.75;Þub.57;21;-1;Þub.19;2.Kas;Oca.82;Oca.75;Oca.66;Nis.16;May.16
N1;31.03.2019;NAC Breda;VVV-Venlo;1;1;D;0;1;A;13;13;5;3;10;18;6;6;3;3;1;0;2.Haz;3.Mar;Þub.62;Þub.65;3.May;2.Haz;Þub.55;Mar.25;2.Haz;2.Tem;Mar.39;2.Tem;Þub.62;Mar.25;Þub.62;2.Haz;3.Nis;2.Tem;34;2.Tem;Þub.61;3.May;Mar.34;Þub.75;Þub.63;32;2;Oca.92;Oca.95;Oca.88;19;-0.25;Þub.38;Þub.27;1.Tem;Oca.65;Þub.45;3.May;Þub.96
N1;31.03.2019;FC Utrecht;Feyenoord;3;2;H;1;0;H;12;15;5;4;11;11;4;5;0;0;0;0;3;3.May;Þub.25;3.Oca;3.Aðu;Þub.15;2.Eyl;Mar.65;Þub.15;Mar.15;Mar.81;Þub.21;3;3.Tem;Þub.15;3.Oca;Mar.75;Þub.15;33;Mar.15;Þub.98;Mar.83;3.Tem;Þub.28;Þub.18;30;Oca.58;Oca.54;Þub.55;Þub.42;18;0.25;Oca.98;Oca.91;Oca.98;Oca.92;Þub.92;Mar.91;Þub.31
