Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
T1;28.10.2018;Fenerbahçe SK;MKE Ankaragücü;1;3;A;0;1;A;13;17;3;8;16;21;5;7;4;5;1;0;Oca.44;4.May;6.May;1.Nis;Nis.33;7.May;Oca.45;Nis.15;6.Haz;Oca.43;Nis.22;Aðu.84;Oca.47;4.Þub;7;Oca.44;4.Nis;7;35;1.May;Oca.43;4.Aðu;Nis.31;9.Þub;Tem.27;33;Oca.81;Oca.76;Þub.16;2.Mar;19;-1;1.Aðu;Oca.72;Þub.26;2.Ara;Oca.47;Nis.33;Tem.67
T1;28.10.2018;Kayserispor;Sivasspor;2;0;H;0;0;D;10;14;4;2;13;14;3;5;4;6;0;1;Þub.37;3.Mar;2.Eyl;Þub.35;3.Þub;2.Eyl;Þub.35;3.Þub;2.Eyl;Þub.46;3.Mar;3.Haz;Þub.45;3.Mar;Þub.88;Þub.45;3.Mar;Þub.88;35;2.May;Þub.41;3.Nis;Mar.25;3.Oca;Þub.89;34;2.Oca;Oca.99;Oca.85;Oca.79;17;-0.25;Þub.17;2.Aðu;1.Aðu;Oca.75;Þub.34;Mar.43;Mar.21
T1;28.10.2018;Yeni Malatyaspor;Galatasaray SK;2;0;H;1;0;H;12;14;5;2;16;13;5;5;2;1;0;0;3.Haz;3.Mar;2.Nis;Mar.75;3.Mar;Oca.95;Mar.45;Mar.15;2.Oca;Mar.75;Mar.14;Þub.21;3.Nis;Mar.25;2.Þub;3.Nis;3.Mar;Þub.15;36;Mar.79;Mar.49;Mar.35;Mar.19;Þub.23;2.Ara;35;2.Þub;2.Haz;1.Aðu;Oca.74;16;0.25;2.Nis;Oca.98;Oca.91;Oca.84;Þub.99;Mar.35;Þub.52
T1;29.10.2018;Akhisar Belediyespor;Göztepe SK;1;0;H;1;0;H;11;13;4;3;18;14;3;3;3;4;0;0;2.Eyl;Mar.25;2.Nis;2.May;3.Mar;Þub.65;Þub.75;3.Mar;Þub.45;Þub.84;Mar.46;Þub.53;2.Aðu;3.Nis;Þub.45;2.Aðu;3.Nis;Þub.45;36;2.Eyl;Þub.76;3.May;Mar.31;Þub.65;Þub.46;33;Oca.95;Oca.86;2;Oca.91;16;0.25;Oca.77;Oca.72;Þub.21;2.Ara;Þub.66;Mar.45;Þub.74
T1;29.10.2018;Beþiktaþ JK;Çaykur Rizespor;4;1;H;2;0;H;26;5;12;2;12;12;7;2;3;2;0;2;1.Þub;6;15;Oca.17;6.May;14.May;Oca.13;7.Mar;20;Oca.17;Haz.75;18.88;1.Þub;6.May;13;1.Þub;Haz.25;15;33;Oca.22;Oca.17;Aðu.25;Haz.59;25;16.86;29;Oca.75;Oca.66;Þub.25;Þub.16;15;-2;Þub.28;2.Þub;Oca.77;Oca.69;Oca.33;Nis.86;Aðu.92
T1;2.11.2018;Galatasaray SK;Fenerbahçe SK;2;2;D;1;0;H;16;17;3;5;9;16;6;4;1;4;0;0;2;3.Nis;Mar.75;2;3.Mar;4;2.May;Mar.15;Mar.65;2.Ara;Mar.28;3.Eyl;2.Oca;Mar.25;3.Haz;2.May;3.Mar;Mar.75;34;Þub.15;2.May;3.Nis;Mar.24;4.Oca;Mar.77;31;Þub.26;Þub.18;Oca.76;Oca.65;15;-0.25;Oca.81;Oca.76;Þub.14;2.Tem;2.Haz;Mar.23;Nis.22
T1;3.11.2018;Akhisar Belediyespor;BB Erzurumspor;1;1;D;1;1;D;10;5;5;1;13;16;3;2;2;1;0;0;1.Eyl;3.Mar;4.Þub;Oca.91;3.Nis;3.Aðu;Oca.93;Mar.35;Mar.75;2;Mar.55;Mar.99;2;3.May;3.Tem;Oca.95;3.May;3.Aðu;37;2.May;Oca.96;3.Haz;Mar.41;4.Þub;Mar.79;34;2.May;Oca.95;Oca.91;Oca.83;17;-0.25;Oca.72;Oca.69;Þub.25;Þub.17;2.May;Mar.39;4.Oca
T1;3.11.2018;Medipol Baþakþehir FK;Beþiktaþ JK;1;0;H;1;0;H;9;15;3;3;14;14;3;9;2;2;0;0;2.Mar;Mar.25;3.Oca;2.Mar;3.Þub;3;Þub.25;3.Þub;3.May;Þub.36;Mar.36;Mar.18;Þub.35;3.Mar;3;2.Mar;3.Mar;3.Oca;36;2.Nis;Þub.29;3.Nis;Mar.26;3.Mar;3.Oca;34;2.Oca;2.Þub;Oca.85;Oca.77;18;-0.25;2.May;Oca.98;1.Eyl;Oca.84;Þub.55;Mar.19;3.Aðu
T1;3.11.2018;Kasimpaþa SK;Antalyaspor;1;2;A;1;1;D;19;9;6;6;12;14;7;3;2;4;0;0;Oca.85;3.Nis;Nis.33;Oca.87;3.Haz;Mar.75;Oca.83;Mar.75;3.Aðu;Oca.86;Mar.82;Nis.24;Oca.95;3.Tem;3.Haz;1.Eyl;3.Tem;3.Aðu;37;Oca.95;Oca.87;4;Mar.68;Nis.33;Mar.85;33;1.Haz;Oca.53;2.Haz;Þub.44;17;-0.5;Oca.93;Oca.87;2.Nis;Oca.96;Oca.73;4.Oca;Nis.67
T1;4.11.2018;Alanyaspor;Yeni Malatyaspor;0;1;A;0;1;A;17;2;6;1;20;20;10;0;2;3;0;0;2.Tem;3.Oca;2.Tem;Þub.65;3;2.Tem;Þub.65;3.May;Þub.65;Þub.79;Mar.18;Þub.75;Þub.75;3.Þub;Þub.62;Þub.75;3.Þub;2.Haz;36;Þub.85;Þub.69;Mar.25;3.Oca;2.Aðu;Þub.66;33;2.Mar;2.Þub;1.Tem;Oca.64;18;0;2.Þub;Oca.94;Oca.95;Oca.88;Þub.33;Mar.32;Mar.32
