Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
F1;14.09.2018;OGC Nice;Stade Rennais FC;2;1;H;0;0;D;13;10;4;3;10;19;3;2;4;1;0;0;2.May;Mar.25;2.Aðu;2.Haz;3.Oca;Þub.95;Þub.65;3.Oca;Þub.85;Þub.75;Mar.14;Þub.92;Þub.62;3.Oca;2.Aðu;2.Tem;Mar.13;Þub.88;37;Þub.75;Þub.62;Mar.28;3.Ara;3;Þub.86;35;2.Nis;Þub.27;1.Tem;Oca.62;20;-0.25;Þub.32;Þub.23;Oca.73;Oca.68;Þub.69;3.Mar;Þub.85
F1;14.09.2018;Paris Saint-Germain;AS Saint-Étienne;4;0;H;1;0;H;16;11;9;2;12;13;7;4;1;1;0;0;Oca.25;6;11;Oca.25;Haz.25;11;Oca.25;6.Oca;11;Oca.25;Haz.51;Ara.83;Oca.25;6;11;Oca.25;Haz.25;13;37;Oca.29;Oca.25;7;Haz.16;14;Kas.68;35;Oca.55;1.May;Þub.71;Þub.55;20;-1.5;Oca.81;Oca.75;2.Þub;2.Ara;Oca.25;Haz.47;Ara.81
F1;15.09.2018;Amiens SC;LOSC Lille;2;3;A;0;1;A;8;18;4;9;12;21;3;3;1;2;0;0;3.Nis;3.Oca;2.Mar;3.Nis;3.Oca;2.Mar;3.Mar;3.Oca;Þub.35;Mar.39;Mar.19;2.Nis;3.Þub;3.Þub;2.Mar;3.Mar;Mar.13;2.Nis;40;Mar.45;Mar.27;Mar.32;Mar.15;Þub.42;Þub.34;35;Þub.48;Þub.34;1.Tem;Oca.59;22;0.25;Oca.88;Oca.85;2.May;2.Oca;3.Nis;Mar.31;Þub.33
F1;15.09.2018;Stade Malherbe Caen;Olympique Lyonnais;2;2;D;0;1;A;18;17;4;6;15;13;2;4;1;2;2;0;5.May;Mar.75;Oca.64;5.May;3.Aðu;Oca.65;5.Þub;3.Aðu;Oca.67;5.Mar;4;1.Tem;5;3.Tem;1.Tem;May.75;3.Aðu;Oca.67;40;May.75;May.26;4;Mar.74;Oca.74;Oca.69;39;2.May;Oca.97;2;Oca.83;24;1;Oca.72;Oca.67;Þub.35;Þub.24;6.Aðu;Nis.39;Oca.52
F1;15.09.2018;Dijon FCO;Angers SCO;1;3;A;1;3;A;11;13;3;6;11;13;4;6;2;2;0;0;Þub.14;3.Nis;3.Nis;Þub.15;Mar.25;3.Haz;2.Oca;3.Nis;Mar.55;Þub.15;Mar.52;Mar.61;Þub.15;3.Nis;3.Mar;Þub.15;3.Nis;3.Haz;40;Þub.21;2.Ara;3.Haz;Mar.41;3.Tem;Mar.51;39;2.Haz;2;Oca.87;1.Aðu;22;-0.25;Oca.87;Oca.83;2.Tem;2.Mar;Þub.42;Mar.45;3.Oca
F1;15.09.2018;Montpellier HSC;RC Strasbourg Alsace;1;1;D;0;0;D;10;7;3;1;15;14;5;5;1;2;0;0;Oca.95;3.Nis;4.Þub;1.Eyl;3.Mar;4.May;1.Eyl;Mar.35;4.Nis;Oca.93;Mar.47;Nis.55;Oca.91;3.May;4;Oca.91;3.Mar;4.Haz;39;Oca.99;Oca.92;3.May;Mar.35;4.Haz;Nis.33;36;Þub.36;Þub.28;1.Tem;Oca.62;20;-0.25;Oca.69;Oca.65;Þub.37;Þub.29;Þub.14;Mar.15;Nis.15
F1;15.09.2018;Toulouse Football Club;AS Monaco;1;1;D;0;0;D;13;12;6;2;17;17;6;3;2;3;0;0;3;3.Mar;2.Nis;2.Aðu;3.Nis;2.May;Þub.85;3.Nis;Þub.45;Þub.87;Mar.59;Þub.51;2.Aðu;3.May;2.Nis;2.Eyl;3.Nis;2.May;40;3;Þub.87;Mar.59;Mar.42;Þub.54;Þub.45;39;Oca.95;Oca.88;Oca.99;Oca.91;22;0;2.Mar;2.Aðu;Oca.83;Oca.78;Þub.47;Mar.35;3.Kas
F1;16.09.2018;FC Girondins de Bordeaux;Nîmes Olympique;3;3;D;1;2;A;15;14;4;5;12;9;8;3;2;0;0;0;Oca.83;3.Nis;4.May;Oca.85;3.May;4.May;1.Aðu;3.Haz;Nis.45;Oca.85;Mar.67;Nis.73;Oca.85;3.Tem;4;Oca.85;3.Haz;4.May;38;Oca.91;Oca.85;3.Tem;Mar.55;Nis.73;Nis.39;37;2.Þub;Oca.95;Oca.92;Oca.85;21;-0.75;Þub.18;2.Kas;Oca.82;Oca.76;Oca.78;3.Tem;May.13
F1;16.09.2018;Olympique de Marseille;En Avant de Guingamp;4;0;H;0;0;D;17;2;6;0;7;9;8;1;1;1;0;0;Oca.28;May.75;10;Oca.33;5.May;Aðu.75;1.Mar;5.Tem;9.Oca;Oca.32;6.Kas;Eyl.28;Oca.29;5.Aðu;9;Oca.29;6;11;38;Oca.33;1.Mar;Haz.31;5.Aðu;11;Eyl.16;33;Oca.53;Oca.47;Þub.95;Þub.61;23;-1.5;Oca.87;Oca.83;2.Eyl;2.Mar;Oca.28;Haz.23;11.Haz
F1;16.09.2018;FC Nantes;Stade de Reims;0;0;D;0;0;D;12;7;6;0;13;12;7;7;3;4;0;0;1.Eyl;Mar.25;Nis.33;Oca.95;3.Mar;Nis.25;Oca.93;Mar.35;4.Þub;Oca.93;Mar.67;Nis.21;Oca.91;3.May;4;Oca.95;3.Mar;4.Nis;38;2.May;Oca.96;Mar.67;Mar.38;4.May;Nis.15;33;Þub.38;Þub.33;Oca.66;Oca.59;20;-0.25;Oca.71;Oca.68;Þub.33;Þub.23;Þub.13;Mar.31;Mar.95
F1;21.09.2018;AS Monaco;Nîmes Olympique;1;1;D;1;1;D;15;9;4;2;15;15;5;5;1;2;0;0;Oca.75;4;Nis.33;Oca.75;3.Aðu;4.Haz;1.Haz;4;5.May;Oca.84;Mar.71;Nis.63;Oca.85;3.Tem;4;Oca.83;3.Eyl;4.Þub;36;Oca.88;Oca.79;4;Mar.75;5.May;Nis.44;34;Oca.68;Oca.63;Þub.33;Þub.24;19;-1;Þub.53;Þub.39;Oca.75;Oca.59;2.May;Mar.57;Mar.82
F1;22.09.2018;Angers SCO;Toulouse Football Club;0;0;D;0;0;D;16;7;4;0;14;14;4;4;1;2;0;0;Þub.14;3.Þub;3.Haz;2.Þub;3.Þub;3.May;Þub.15;Mar.25;Mar.55;2.Þub;Mar.36;Mar.61;Þub.15;Mar.25;3.May;Þub.15;Mar.25;3.Tem;39;Þub.28;Þub.17;Mar.36;Mar.23;3.Tem;3.May;35;Þub.35;Þub.25;Oca.68;Oca.62;20;-0.25;Oca.89;Oca.86;2.May;2;Þub.26;Mar.42;Mar.39
