Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
I1;24.11.2018;Inter;Frosinone;3;0;H;1;0;H;25;5;14;4;11;11;11;0;1;3;0;0;Oca.25;6;12;Oca.26;6;11;Oca.27;6.Oca;10;Oca.24;Haz.56;13.32;Oca.22;6.May;12;Oca.22;6.May;13;38;Oca.28;Oca.24;Haz.75;Haz.23;15;Ara.39;35;1.Haz;Oca.53;Þub.64;Þub.45;22;-2;Þub.27;Þub.18;Oca.75;Oca.71;Oca.28;May.92;Ara.31
I1;24.11.2018;Juventus;Spal;2;0;H;1;0;H;12;8;8;1;20;11;6;3;1;3;0;0;Oca.14;8;19;Oca.16;7.May;19;Oca.15;7.May;20;Oca.15;Aðu.24;25.21;Oca.14;7.May;23;Oca.17;7.May;21;38;Oca.18;Oca.15;8.May;Tem.74;26;20.96;34;1.Haz;Oca.53;Þub.65;Þub.47;22;-2;Oca.85;Oca.78;Þub.15;2.Aðu;Oca.15;Aðu.39;23.34
I1;24.11.2018;Udinese;Roma;1;0;H;0;0;D;8;23;3;9;6;10;0;12;2;0;0;0;4.May;3.Haz;Oca.83;4.Nis;3.Haz;Oca.83;4.Mar;3.Haz;Oca.85;Nis.53;Mar.73;Oca.85;4.Þub;3.Haz;Oca.88;4.Haz;3.Tem;Oca.83;38;4.Haz;Nis.34;3.Eyl;Mar.67;Oca.88;Oca.84;36;Oca.81;Oca.75;Þub.17;2.Tem;22;1;1.Haz;Oca.55;Þub.61;Þub.51;4.Oca;Mar.38;2.Aðu
I1;25.11.2018;Bologna;Fiorentina;0;0;D;0;0;D;8;11;4;6;11;21;4;9;3;1;0;0;4;3.Mar;2.Nis;3.Tem;3.Mar;2.Oca;Mar.75;Mar.35;2.May;Mar.95;Mar.36;2.Kas;3.Eyl;Mar.25;2.May;3.Eyl;Mar.25;2.Oca;38;4;Mar.79;Mar.45;3.Mar;2.Ara;2.Tem;36;Þub.16;2.Tem;1.Aðu;Oca.74;20;0.25;Þub.15;2.Eyl;Oca.82;Oca.78;Mar.31;Mar.21;Þub.43
I1;25.11.2018;Empoli;Atalanta;3;2;H;1;2;A;12;8;8;5;12;9;7;3;2;2;0;1;May.25;4;Oca.66;Nis.75;3.Aðu;Oca.75;4.Haz;4;1.Tem;Nis.89;4.Þub;Oca.74;5;3.Aðu;1.Tem;5.Þub;3.Eyl;1.Tem;38;May.25;Nis.74;4.Þub;3.Eyl;Oca.77;Oca.72;36;1.Tem;Oca.64;Þub.36;Þub.23;23;1;Oca.75;Oca.68;Þub.38;Þub.24;May.39;Nis.19;Oca.65
I1;25.11.2018;Genoa;Sampdoria;1;1;D;1;1;D;10;6;5;2;17;15;7;6;2;1;0;0;2.Haz;3.Mar;Þub.75;2.Haz;Mar.25;2.Aðu;Þub.65;3.Mar;2.Tem;Þub.75;3.Mar;2.Aðu;Þub.62;3.Þub;Þub.75;Þub.75;3.Þub;Þub.75;38;Þub.75;Þub.65;3.Nis;Mar.24;Þub.88;Þub.75;36;2.May;Oca.95;1.Eyl;Oca.84;20;-0.25;Þub.37;Þub.29;1.Tem;Oca.66;2.Aðu;Mar.18;Þub.84
I1;25.11.2018;Lazio;Milan;1;1;D;0;0;D;16;9;6;4;10;4;9;4;1;1;0;0;Oca.85;Mar.75;4.Þub;Oca.83;3.Aðu;4.Oca;1.Aðu;3.Aðu;4.Mar;Oca.83;Mar.87;Nis.47;1.Aðu;Mar.75;4.Nis;1.Aðu;Mar.75;4.Haz;38;Oca.87;Oca.82;Mar.95;Mar.77;4.Haz;Nis.28;36;Oca.84;Oca.77;2.Oca;2.Nis;21;-1;Þub.62;2.May;1.Haz;Oca.55;Oca.78;Mar.77;5.Þub
I1;25.11.2018;Napoli;Chievo Verona;0;0;D;0;0;D;17;7;10;3;11;13;20;2;2;2;0;0;1.Ara;9;19;1.Kas;9.May;21;1.Kas;9.Þub;24;1.Ara;Eyl.97;26.Mar;1.Oca;9.May;29;1.Kas;9.May;22;38;Oca.14;1.Kas;10.May;Eyl.39;34;24.26;33;Oca.41;Oca.36;Mar.25;3.May;21;-2.5;2.Þub;Oca.95;2;1.Eyl;Oca.14;Aðu.73;23.49
I1;25.11.2018;Parma;Sassuolo;2;1;H;2;1;H;10;12;4;5;14;14;2;3;3;4;0;0;3.Oca;3.Nis;2.Mar;3.Oca;3.Mar;Þub.35;Þub.95;3.Nis;2.Nis;Þub.99;3.May;Þub.47;3;3.Nis;Þub.38;3.Oca;3.Mar;2.Nis;38;3.Þub;Þub.99;Mar.55;Mar.38;Þub.47;Þub.39;36;Oca.91;Oca.84;2.Mar;Oca.95;20;0.25;Oca.85;Oca.81;2.Ara;2.Tem;3.Nis;Mar.55;Þub.22
I1;26.11.2018;Cagliari;Torino;0;0;D;0;0;D;3;8;1;5;12;13;3;4;2;0;0;0;2.Eyl;3.Þub;Þub.54;2.Eyl;3.Þub;Þub.55;Þub.95;3.Þub;2.May;2.Eyl;Mar.33;Þub.64;2.Eyl;3;Þub.62;3;3.Oca;2.Haz;38;3.Þub;2.Eyl;Mar.33;Mar.17;Þub.65;Þub.56;36;Þub.25;Þub.15;Oca.75;Oca.69;20;0.25;Oca.76;Oca.72;Þub.25;Þub.18;Þub.96;3.Þub;Þub.67
